timestamp_ms,input_voltage,output_voltage,tachometer,shaft_speed_hz,load_factor,fault_label
0.0,0.0248,-0.0338,0.0,30.0,0.5,NONE
0.1,0.116,0.169,0.0,30.0,0.5,NONE
0.2,0.2381,0.2527,0.0,30.0,0.5,NONE
0.3,0.2987,0.2942,0.0,30.0,0.5,NONE
0.4,0.1592,0.1292,0.0,30.0,0.5,NONE
0.5,0.0604,0.0784,5.0,30.0,0.5,NONE
0.6,0.0435,-0.1016,5.0,30.0,0.5,NONE
0.7,-0.0723,-0.2633,5.0,30.0,0.5,NONE
0.8,-0.1471,-0.2169,5.0,30.0,0.5,NONE
0.9,-0.0393,-0.1252,5.0,30.0,0.5,NONE
1.0,0.0208,-0.0947,5.0,30.0,0.5,NONE
1.1,0.1486,0.1315,5.0,30.0,0.5,NONE
1.2,0.2875,0.2787,0.0,30.0,0.5,NONE
1.3,0.2256,0.3313,0.0,30.0,0.5,NONE
1.4,0.2103,0.3749,0.0,30.0,0.5,NONE
1.5,0.185,0.191,0.0,30.0,0.5,NONE
1.6,0.053,0.0158,0.0,30.0,0.5,NONE
1.7,0.0257,-0.2192,0.0,30.0,0.5,NONE
1.8,-0.0771,-0.1571,0.0,30.0,0.5,NONE
1.9,-0.0741,-0.2159,0.0,30.0,0.5,NONE
2.0,0.161,-0.0213,0.0,30.0,0.5,NONE
2.1,0.2016,0.1701,0.0,30.0,0.5,NONE
2.2,0.3342,0.3942,0.0,30.0,0.5,NONE
2.3,0.3319,0.3622,0.0,30.0,0.5,NONE
2.4,0.3799,0.2759,0.0,30.0,0.5,NONE
2.5,0.3501,0.3354,0.0,30.0,0.5,NONE
2.6,0.1828,0.2534,0.0,30.0,0.5,NONE
2.7,0.1531,0.0598,0.0,30.0,0.5,NONE
2.8,0.0368,-0.0994,0.0,30.0,0.5,NONE
2.9,0.0499,-0.1442,0.0,30.0,0.5,NONE
3.0,0.1009,0.0144,0.0,30.0,0.5,NONE
3.1,0.3384,0.0915,0.0,30.0,0.5,NONE
3.2,0.3704,0.3461,0.0,30.0,0.5,NONE
3.3,0.4125,0.4833,0.0,30.0,0.5,NONE
3.4,0.5393,0.5547,0.0,30.0,0.5,NONE
3.5,0.3995,0.5778,0.0,30.0,0.5,NONE
3.6,0.3789,0.316,0.0,30.0,0.5,NONE
3.7,0.159,0.0986,0.0,30.0,0.5,NONE
3.8,0.1016,-0.0157,0.0,30.0,0.5,NONE
3.9,0.1453,-0.1564,5.0,30.0,0.5,NONE
4.0,0.2103,-0.0504,5.0,30.0,0.5,NONE
4.1,0.2794,0.1055,5.0,30.0,0.5,NONE
4.2,0.3899,0.2828,5.0,30.0,0.5,NONE
4.3,0.4913,0.4786,5.0,30.0,0.5,NONE
4.4,0.4922,0.5154,5.0,30.0,0.5,NONE
4.5,0.52,0.5938,5.0,30.0,0.5,NONE
4.6,0.4589,0.423,0.0,30.0,0.5,NONE
4.7,0.425,0.2545,0.0,30.0,0.5,NONE
4.8,0.2848,0.0785,0.0,30.0,0.5,NONE
4.9,0.119,0.0091,0.0,30.0,0.5,NONE
5.0,0.2305,0.0504,0.0,30.0,0.5,NONE
5.1,0.2691,0.0744,0.0,30.0,0.5,NONE
5.2,0.3714,0.2577,0.0,30.0,0.5,NONE
5.3,0.5561,0.4536,0.0,30.0,0.5,NONE
5.4,0.6601,0.5241,0.0,30.0,0.5,NONE
5.5,0.6734,0.576,0.0,30.0,0.5,NONE
5.6,0.5337,0.5148,0.0,30.0,0.5,NONE
5.7,0.4592,0.4296,0.0,30.0,0.5,NONE
5.8,0.3778,0.2276,0.0,30.0,0.5,NONE
5.9,0.3256,0.0967,0.0,30.0,0.5,NONE
6.0,0.2288,0.0928,0.0,30.0,0.5,NONE
6.1,0.2898,0.1124,0.0,30.0,0.5,NONE
6.2,0.3454,0.2909,0.0,30.0,0.5,NONE
6.3,0.4633,0.4498,0.0,30.0,0.5,NONE
6.4,0.665,0.6204,0.0,30.0,0.5,NONE
6.5,0.7379,0.6468,0.0,30.0,0.5,NONE
6.6,0.6415,0.5172,0.0,30.0,0.5,NONE
6.7,0.6095,0.5048,0.0,30.0,0.5,NONE
6.8,0.4623,0.4111,0.0,30.0,0.5,NONE
6.9,0.3091,0.2332,0.0,30.0,0.5,NONE
7.0,0.3059,0.1565,0.0,30.0,0.5,NONE
7.1,0.3804,0.1953,0.0,30.0,0.5,NONE
7.2,0.3818,0.2602,5.0,30.0,0.5,NONE
7.3,0.5788,0.4434,5.0,30.0,0.5,NONE
7.4,0.4829,0.5751,5.0,30.0,0.5,NONE
7.5,0.7252,0.6982,5.0,30.0,0.5,NONE
7.6,0.6913,0.7521,5.0,30.0,0.5,NONE
7.7,0.607,0.6873,5.0,30.0,0.5,NONE
7.8,0.5171,0.4595,5.0,30.0,0.5,NONE
7.9,0.2982,0.2752,0.0,30.0,0.5,NONE
8.0,0.3071,0.1824,0.0,30.0,0.5,NONE
8.1,0.32,0.1928,0.0,30.0,0.5,NONE
8.2,0.4297,0.1754,0.0,30.0,0.5,NONE
8.3,0.4341,0.2939,0.0,30.0,0.5,NONE
8.4,0.5378,0.5634,0.0,30.0,0.5,NONE
8.5,0.6435,0.6706,0.0,30.0,0.5,NONE
8.6,0.745,0.7575,0.0,30.0,0.5,NONE
8.7,0.6756,0.721,0.0,30.0,0.5,NONE
8.8,0.5358,0.5663,0.0,30.0,0.5,NONE
8.9,0.4682,0.4882,0.0,30.0,0.5,NONE
9.0,0.3468,0.2873,0.0,30.0,0.5,NONE
9.1,0.344,0.223,0.0,30.0,0.5,NONE
9.2,0.2842,0.2815,0.0,30.0,0.5,NONE
9.3,0.3879,0.328,0.0,30.0,0.5,NONE
9.4,0.5004,0.6177,0.0,30.0,0.5,NONE
9.5,0.5517,0.7268,0.0,30.0,0.5,NONE
9.6,0.6961,0.8565,0.0,30.0,0.5,NONE
9.7,0.6816,0.7582,0.0,30.0,0.5,NONE
9.8,0.5905,0.625,0.0,30.0,0.5,NONE
9.9,0.4616,0.5766,0.0,30.0,0.5,NONE
10.0,0.2872,0.3901,0.0,30.0,0.5,NONE
10.1,0.2629,0.224,0.0,30.0,0.5,NONE
10.2,0.2592,0.2233,0.0,30.0,0.5,NONE
10.3,0.2965,0.4228,0.0,30.0,0.5,NONE
10.4,0.4344,0.4754,0.0,30.0,0.5,NONE
10.5,0.5754,0.7959,5.0,30.0,0.5,NONE
10.6,0.7281,0.7966,5.0,30.0,0.5,NONE
10.7,0.6579,0.9067,5.0,30.0,0.5,NONE
10.8,0.6073,0.7866,5.0,30.0,0.5,NONE
10.9,0.4837,0.6834,5.0,30.0,0.5,NONE
11.0,0.2686,0.4524,5.0,30.0,0.5,NONE
11.1,0.2661,0.3367,5.0,30.0,0.5,NONE
11.2,0.2318,0.3002,0.0,30.0,0.5,NONE
