timestamp_ms,input_voltage,output_voltage,tachometer,shaft_speed_hz,load_factor,fault_label
0.0,-0.0432,-0.0557,0.0,40.0,1.0,NONE
0.1,0.1551,0.1926,0.0,40.0,1.0,NONE
0.2,0.2259,0.2688,0.0,40.0,1.0,NONE
0.3,0.1945,0.1965,0.0,40.0,1.0,NONE
0.4,-0.0332,-0.0011,5.0,40.0,1.0,NONE
0.5,-0.0618,-0.1491,5.0,40.0,1.0,NONE
0.6,-0.2588,-0.2659,5.0,40.0,1.0,NONE
0.7,-0.0656,-0.2054,5.0,40.0,1.0,NONE
0.8,0.1055,0.1663,5.0,40.0,1.0,NONE
0.9,0.3071,0.2753,0.0,40.0,1.0,NONE
1.0,0.3219,0.372,0.0,40.0,1.0,NONE
1.1,0.1755,0.2745,0.0,40.0,1.0,NONE
1.2,0.0544,0.039,0.0,40.0,1.0,NONE
1.3,-0.0011,-0.0983,0.0,40.0,1.0,NONE
1.4,-0.0247,-0.1534,0.0,40.0,1.0,NONE
1.5,0.0588,-0.0674,0.0,40.0,1.0,NONE
1.6,0.2311,0.3262,0.0,40.0,1.0,NONE
1.7,0.4208,0.4139,0.0,40.0,1.0,NONE
1.8,0.3813,0.4195,0.0,40.0,1.0,NONE
1.9,0.3083,0.3244,0.0,40.0,1.0,NONE
2.0,0.2757,0.0618,0.0,40.0,1.0,NONE
2.1,-0.0044,-0.0899,0.0,40.0,1.0,NONE
2.2,-0.0131,0.0255,0.0,40.0,1.0,NONE
2.3,0.2434,0.0662,0.0,40.0,1.0,NONE
2.4,0.3371,0.3064,0.0,40.0,1.0,NONE
2.5,0.4682,0.4901,0.0,40.0,1.0,NONE
2.6,0.4414,0.525,0.0,40.0,1.0,NONE
2.7,0.3554,0.221,0.0,40.0,1.0,NONE
2.8,0.3027,-0.0271,0.0,40.0,1.0,NONE
2.9,0.1788,-0.0909,5.0,40.0,1.0,NONE
3.0,0.2165,-0.0974,5.0,40.0,1.0,NONE
3.1,0.2406,0.1641,5.0,40.0,1.0,NONE
3.2,0.4161,0.4482,5.0,40.0,1.0,NONE
3.3,0.4241,0.512,5.0,40.0,1.0,NONE
3.4,0.497,0.4373,0.0,40.0,1.0,NONE
3.5,0.4582,0.3168,0.0,40.0,1.0,NONE
3.6,0.2935,0.1381,0.0,40.0,1.0,NONE
3.7,0.1905,-0.0928,0.0,40.0,1.0,NONE
3.8,0.2562,0.113,0.0,40.0,1.0,NONE
3.9,0.3708,0.3315,0.0,40.0,1.0,NONE
4.0,0.5693,0.5662,0.0,40.0,1.0,NONE
4.1,0.667,0.6814,0.0,40.0,1.0,NONE
4.2,0.4948,0.6487,0.0,40.0,1.0,NONE
4.3,0.4511,0.3098,0.0,40.0,1.0,NONE
4.4,0.346,0.1267,0.0,40.0,1.0,NONE
4.5,0.2321,0.0295,0.0,40.0,1.0,NONE
4.6,0.3632,0.1629,0.0,40.0,1.0,NONE
4.7,0.6233,0.4708,0.0,40.0,1.0,NONE
4.8,0.6192,0.5399,0.0,40.0,1.0,NONE
4.9,0.6893,0.6324,0.0,40.0,1.0,NONE
5.0,0.5562,0.6306,0.0,40.0,1.0,NONE
5.1,0.4533,0.3909,0.0,40.0,1.0,NONE
5.2,0.3396,0.1321,0.0,40.0,1.0,NONE
5.3,0.3001,0.1559,0.0,40.0,1.0,NONE
5.4,0.3326,0.2728,5.0,40.0,1.0,NONE
5.5,0.5512,0.5698,5.0,40.0,1.0,NONE
5.6,0.7405,0.6917,5.0,40.0,1.0,NONE
5.7,0.7094,0.7726,5.0,40.0,1.0,NONE
5.8,0.6368,0.7105,5.0,40.0,1.0,NONE
5.9,0.422,0.3808,0.0,40.0,1.0,NONE
6.0,0.3555,0.1848,0.0,40.0,1.0,NONE
6.1,0.3267,0.2162,0.0,40.0,1.0,NONE
6.2,0.3741,0.3313,0.0,40.0,1.0,NONE
6.3,0.5942,0.7103,0.0,40.0,1.0,NONE
6.4,0.6369,0.7692,0.0,40.0,1.0,NONE
6.5,0.6483,0.7441,0.0,40.0,1.0,NONE
6.6,0.5717,0.5472,0.0,40.0,1.0,NONE
6.7,0.4198,0.416,0.0,40.0,1.0,NONE
6.8,0.2441,0.2611,0.0,40.0,1.0,NONE
6.9,0.372,0.2256,0.0,40.0,1.0,NONE
7.0,0.47,0.4719,0.0,40.0,1.0,NONE
7.1,0.5584,0.6059,0.0,40.0,1.0,NONE
7.2,0.6044,0.8322,0.0,40.0,1.0,NONE
7.3,0.6416,0.8076,0.0,40.0,1.0,NONE
7.4,0.492,0.6796,0.0,40.0,1.0,NONE
7.5,0.3636,0.3328,0.0,40.0,1.0,NONE
7.6,0.2552,0.1924,0.0,40.0,1.0,NONE
7.7,0.2095,0.2786,0.0,40.0,1.0,NONE
7.8,0.423,0.468,0.0,40.0,1.0,NONE
7.9,0.5718,0.8316,5.0,40.0,1.0,NONE
8.0,0.6837,0.9531,5.0,40.0,1.0,NONE
8.1,0.5595,0.8191,5.0,40.0,1.0,NONE
8.2,0.5301,0.6559,5.0,40.0,1.0,NONE
8.3,0.199,0.3886,5.0,40.0,1.0,NONE
8.4,0.2943,0.2934,0.0,40.0,1.0,NONE
8.5,0.274,0.3814,0.0,40.0,1.0,NONE
8.6,0.4683,0.6082,0.0,40.0,1.0,NONE
8.7,0.563,0.7627,0.0,40.0,1.0,NONE
8.8,0.657,0.931,0.0,40.0,1.0,NONE
8.9,0.4993,0.8103,0.0,40.0,1.0,NONE
9.0,0.3053,0.6287,0.0,40.0,1.0,NONE
9.1,0.2878,0.3982,0.0,40.0,1.0,NONE
9.2,0.1657,0.3347,0.0,40.0,1.0,NONE
9.3,0.2578,0.4299,0.0,40.0,1.0,NONE
9.4,0.453,0.7119,0.0,40.0,1.0,NONE
9.5,0.4595,0.9433,0.0,40.0,1.0,NONE
9.6,0.5571,0.892,0.0,40.0,1.0,NONE
9.7,0.3948,0.8177,0.0,40.0,1.0,NONE
9.8,0.2526,0.5965,0.0,40.0,1.0,NONE
9.9,0.1311,0.3705,0.0,40.0,1.0,NONE
10.0,0.0287,0.3608,0.0,40.0,1.0,NONE
10.1,0.1573,0.5601,0.0,40.0,1.0,NONE
10.2,0.4097,0.7307,0.0,40.0,1.0,NONE
10.3,0.4899,0.9801,0.0,40.0,1.0,NONE
10.4,0.4337,0.9249,5.0,40.0,1.0,NONE
10.5,0.3267,0.8597,5.0,40.0,1.0,NONE
