timestamp_ms,input_voltage,output_voltage,tachometer,shaft_speed_hz,load_factor,fault_label
0.0,2.4983,3.1661,0.0,35.0,0.5,BROKEN_TOOTH
0.1,2.3144,3.0008,0.0,35.0,0.5,BROKEN_TOOTH
0.2,2.1453,2.7564,0.0,35.0,0.5,BROKEN_TOOTH
0.3,1.942,2.4622,0.0,35.0,0.5,BROKEN_TOOTH
0.4,1.669,2.1005,0.0,35.0,0.5,BROKEN_TOOTH
0.5,1.3266,1.5718,5.0,35.0,0.5,BROKEN_TOOTH
0.6,1.0528,1.3103,5.0,35.0,0.5,BROKEN_TOOTH
0.7,0.9751,1.0213,5.0,35.0,0.5,BROKEN_TOOTH
0.8,0.8467,0.9789,5.0,35.0,0.5,BROKEN_TOOTH
0.9,0.9485,1.1286,5.0,35.0,0.5,BROKEN_TOOTH
1.0,0.9252,1.2096,5.0,35.0,0.5,BROKEN_TOOTH
1.1,0.9503,1.199,0.0,35.0,0.5,BROKEN_TOOTH
1.2,0.8276,0.9548,0.0,35.0,0.5,BROKEN_TOOTH
1.3,0.665,0.7543,0.0,35.0,0.5,BROKEN_TOOTH
1.4,0.4651,0.5468,0.0,35.0,0.5,BROKEN_TOOTH
1.5,0.4136,0.3036,0.0,35.0,0.5,BROKEN_TOOTH
1.6,0.264,0.1803,0.0,35.0,0.5,BROKEN_TOOTH
1.7,0.3149,0.3338,0.0,35.0,0.5,BROKEN_TOOTH
1.8,0.5676,0.4389,0.0,35.0,0.5,BROKEN_TOOTH
1.9,0.6146,0.719,0.0,35.0,0.5,BROKEN_TOOTH
2.0,0.4857,0.763,0.0,35.0,0.5,BROKEN_TOOTH
2.1,0.5241,0.6343,0.0,35.0,0.5,BROKEN_TOOTH
2.2,0.3358,0.4798,0.0,35.0,0.5,BROKEN_TOOTH
2.3,0.2338,0.1938,0.0,35.0,0.5,BROKEN_TOOTH
2.4,0.0251,0.0759,0.0,35.0,0.5,BROKEN_TOOTH
2.5,0.1656,0.0929,0.0,35.0,0.5,BROKEN_TOOTH
2.6,0.1976,0.1503,0.0,35.0,0.5,BROKEN_TOOTH
2.7,0.3912,0.321,0.0,35.0,0.5,BROKEN_TOOTH
2.8,0.4274,0.4244,0.0,35.0,0.5,BROKEN_TOOTH
2.9,0.5625,0.5754,0.0,35.0,0.5,BROKEN_TOOTH
3.0,0.4932,0.5494,0.0,35.0,0.5,BROKEN_TOOTH
3.1,0.4721,0.3754,0.0,35.0,0.5,BROKEN_TOOTH
3.2,0.3347,0.1493,0.0,35.0,0.5,BROKEN_TOOTH
3.3,0.2189,-0.0345,5.0,35.0,0.5,BROKEN_TOOTH
3.4,0.1688,-0.1025,5.0,35.0,0.5,BROKEN_TOOTH
3.5,0.379,0.1091,5.0,35.0,0.5,BROKEN_TOOTH
3.6,0.3428,0.3255,5.0,35.0,0.5,BROKEN_TOOTH
3.7,0.4723,0.5039,5.0,35.0,0.5,BROKEN_TOOTH
3.8,0.5857,0.6177,5.0,35.0,0.5,BROKEN_TOOTH
3.9,0.6552,0.6112,0.0,35.0,0.5,BROKEN_TOOTH
4.0,0.4002,0.3195,0.0,35.0,0.5,BROKEN_TOOTH
4.1,0.2737,0.1076,0.0,35.0,0.5,BROKEN_TOOTH
4.2,0.1351,-0.0116,0.0,35.0,0.5,BROKEN_TOOTH
4.3,0.2697,0.0271,0.0,35.0,0.5,BROKEN_TOOTH
4.4,0.372,0.1294,0.0,35.0,0.5,BROKEN_TOOTH
4.5,0.5071,0.3891,0.0,35.0,0.5,BROKEN_TOOTH
4.6,0.5556,0.5824,0.0,35.0,0.5,BROKEN_TOOTH
4.7,0.5935,0.6307,0.0,35.0,0.5,BROKEN_TOOTH
4.8,0.511,0.5615,0.0,35.0,0.5,BROKEN_TOOTH
4.9,0.4597,0.3785,0.0,35.0,0.5,BROKEN_TOOTH
5.0,0.2739,0.0757,0.0,35.0,0.5,BROKEN_TOOTH
5.1,0.1972,0.0873,0.0,35.0,0.5,BROKEN_TOOTH
5.2,0.2551,0.0516,0.0,35.0,0.5,BROKEN_TOOTH
5.3,0.3568,0.1874,0.0,35.0,0.5,BROKEN_TOOTH
5.4,0.4962,0.3998,0.0,35.0,0.5,BROKEN_TOOTH
5.5,0.6599,0.6471,0.0,35.0,0.5,BROKEN_TOOTH
5.6,0.6735,0.6643,0.0,35.0,0.5,BROKEN_TOOTH
5.7,0.5938,0.5002,0.0,35.0,0.5,BROKEN_TOOTH
5.8,0.4925,0.4221,0.0,35.0,0.5,BROKEN_TOOTH
5.9,0.3063,0.1365,0.0,35.0,0.5,BROKEN_TOOTH
6.0,0.2931,0.1152,0.0,35.0,0.5,BROKEN_TOOTH
6.1,0.3204,0.1598,0.0,35.0,0.5,BROKEN_TOOTH
6.2,0.3452,0.3559,5.0,35.0,0.5,BROKEN_TOOTH
6.3,0.6101,0.6135,5.0,35.0,0.5,BROKEN_TOOTH
6.4,0.6233,0.6198,5.0,35.0,0.5,BROKEN_TOOTH
6.5,0.696,0.725,5.0,35.0,0.5,BROKEN_TOOTH
6.6,0.6802,0.6133,5.0,35.0,0.5,BROKEN_TOOTH
6.7,0.5389,0.4588,5.0,35.0,0.5,BROKEN_TOOTH
6.8,0.3671,0.2615,0.0,35.0,0.5,BROKEN_TOOTH
6.9,0.2831,0.1415,0.0,35.0,0.5,BROKEN_TOOTH
7.0,0.3783,0.1867,0.0,35.0,0.5,BROKEN_TOOTH
7.1,0.4743,0.3228,0.0,35.0,0.5,BROKEN_TOOTH
7.2,0.5473,0.6403,0.0,35.0,0.5,BROKEN_TOOTH
7.3,0.6387,0.7702,0.0,35.0,0.5,BROKEN_TOOTH
7.4,0.5899,0.8221,0.0,35.0,0.5,BROKEN_TOOTH
7.5,0.6237,0.6511,0.0,35.0,0.5,BROKEN_TOOTH
7.6,0.4783,0.4404,0.0,35.0,0.5,BROKEN_TOOTH
7.7,0.4125,0.2367,0.0,35.0,0.5,BROKEN_TOOTH
7.8,0.3135,0.2259,0.0,35.0,0.5,BROKEN_TOOTH
7.9,0.3965,0.2154,0.0,35.0,0.5,BROKEN_TOOTH
8.0,0.4065,0.5355,0.0,35.0,0.5,BROKEN_TOOTH
8.1,0.6333,0.5887,0.0,35.0,0.5,BROKEN_TOOTH
8.2,0.6432,0.8166,0.0,35.0,0.5,BROKEN_TOOTH
8.3,0.7145,0.8995,0.0,35.0,0.5,BROKEN_TOOTH
8.4,0.5174,0.7327,0.0,35.0,0.5,BROKEN_TOOTH
8.5,0.4646,0.5151,0.0,35.0,0.5,BROKEN_TOOTH
8.6,0.2278,0.2794,0.0,35.0,0.5,BROKEN_TOOTH
8.7,0.2578,0.1853,0.0,35.0,0.5,BROKEN_TOOTH
8.8,0.3319,0.3619,0.0,35.0,0.5,BROKEN_TOOTH
8.9,0.3971,0.5797,0.0,35.0,0.5,BROKEN_TOOTH
9.0,0.5027,0.6918,5.0,35.0,0.5,BROKEN_TOOTH
9.1,0.6836,0.7975,5.0,35.0,0.5,BROKEN_TOOTH
9.2,0.6331,0.739,5.0,35.0,0.5,BROKEN_TOOTH
9.3,0.521,0.6859,5.0,35.0,0.5,BROKEN_TOOTH
9.4,0.4067,0.5305,5.0,35.0,0.5,BROKEN_TOOTH
9.5,0.412,0.4422,5.0,35.0,0.5,BROKEN_TOOTH
9.6,0.2865,0.3318,0.0,35.0,0.5,BROKEN_TOOTH
9.7,0.3303,0.3917,0.0,35.0,0.5,BROKEN_TOOTH
9.8,0.4088,0.5423,0.0,35.0,0.5,BROKEN_TOOTH
9.9,0.5242,0.7403,0.0,35.0,0.5,BROKEN_TOOTH
10.0,0.4749,0.972,0.0,35.0,0.5,BROKEN_TOOTH
10.1,0.549,0.9084,0.0,35.0,0.5,BROKEN_TOOTH
10.2,0.4591,0.658,0.0,35.0,0.5,BROKEN_TOOTH
10.3,0.2457,0.5287,0.0,35.0,0.5,BROKEN_TOOTH
10.4,0.1589,0.3506,0.0,35.0,0.5,BROKEN_TOOTH
10.5,0.0712,0.3115,0.0,35.0,0.5,BROKEN_TOOTH
10.6,0.2163,0.4545,0.0,35.0,0.5,BROKEN_TOOTH
10.7,0.3755,0.6111,0.0,35.0,0.5,BROKEN_TOOTH
10.8,0.5156,0.8171,0.0,35.0,0.5,BROKEN_TOOTH
10.9,0.5526,1.0101,0.0,35.0,0.5,BROKEN_TOOTH
11.0,0.4635,0.8955,0.0,35.0,0.5,BROKEN_TOOTH
11.1,0.3086,0.8803,0.0,35.0,0.5,BROKEN_TOOTH
11.2,0.1714,0.5513,0.0,35.0,0.5,BROKEN_TOOTH
11.3,0.0756,0.4259,0.0,35.0,0.5,BROKEN_TOOTH
11.4,0.0533,0.3622,0.0,35.0,0.5,BROKEN_TOOTH
11.5,0.1426,0.4789,0.0,35.0,0.5,BROKEN_TOOTH
11.6,0.2177,0.689,0.0,35.0,0.5,BROKEN_TOOTH
11.7,0.4078,0.8896,0.0,35.0,0.5,BROKEN_TOOTH
11.8,0.4437,0.9446,0.0,35.0,0.5,BROKEN_TOOTH
11.9,0.4274,0.9012,5.0,35.0,0.5,BROKEN_TOOTH
12.0,0.3715,0.9317,5.0,35.0,0.5,BROKEN_TOOTH
12.1,0.108,0.5791,5.0,35.0,0.5,BROKEN_TOOTH
12.2,0.0708,0.4807,5.0,35.0,0.5,BROKEN_TOOTH
12.3,0.0134,0.3299,5.0,35.0,0.5,BROKEN_TOOTH
12.4,0.0554,0.5015,5.0,35.0,0.5,BROKEN_TOOTH
12.5,0.2356,0.7064,0.0,35.0,0.5,BROKEN_TOOTH
12.6,0.3545,0.9337,0.0,35.0,0.5,BROKEN_TOOTH
12.7,0.3209,0.879,0.0,35.0,0.5,BROKEN_TOOTH
12.8,0.3229,0.9877,0.0,35.0,0.5,BROKEN_TOOTH
12.9,0.2283,0.7639,0.0,35.0,0.5,BROKEN_TOOTH
13.0,0.0522,0.6339,0.0,35.0,0.5,BROKEN_TOOTH
13.1,-0.0183,0.4145,0.0,35.0,0.5,BROKEN_TOOTH
13.2,-0.0631,0.3978,0.0,35.0,0.5,BROKEN_TOOTH
13.3,0.0776,0.5405,0.0,35.0,0.5,BROKEN_TOOTH
13.4,0.0303,0.7018,0.0,35.0,0.5,BROKEN_TOOTH
13.5,0.2168,0.9235,0.0,35.0,0.5,BROKEN_TOOTH
13.6,0.2284,0.983,0.0,35.0,0.5,BROKEN_TOOTH
13.7,0.2605,0.9046,0.0,35.0,0.5,BROKEN_TOOTH
13.8,0.027,0.8824,0.0,35.0,0.5,BROKEN_TOOTH
13.9,-0.0232,0.5629,0.0,35.0,0.5,BROKEN_TOOTH
14.0,-0.1811,0.474,0.0,35.0,0.5,BROKEN_TOOTH
14.1,-0.2094,0.5047,0.0,35.0,0.5,BROKEN_TOOTH
14.2,-0.1764,0.558,0.0,35.0,0.5,BROKEN_TOOTH
14.3,-0.0048,0.75,0.0,35.0,0.5,BROKEN_TOOTH
14.4,0.1857,0.9907,0.0,35.0,0.5,BROKEN_TOOTH
14.5,0.1748,1.1207,0.0,35.0,0.5,BROKEN_TOOTH
14.6,0.1572,0.9494,0.0,35.0,0.5,BROKEN_TOOTH
14.7,0.0826,0.8291,0.0,35.0,0.5,BROKEN_TOOTH
14.8,-0.1352,0.5467,5.0,35.0,0.5,BROKEN_TOOTH
14.9,-0.2803,0.4759,5.0,35.0,0.5,BROKEN_TOOTH
15.0,-0.2451,0.4913,5.0,35.0,0.5,BROKEN_TOOTH
15.1,-0.2213,0.5763,5.0,35.0,0.5,BROKEN_TOOTH
15.2,-0.095,0.8005,5.0,35.0,0.5,BROKEN_TOOTH
15.3,-0.0357,0.9357,0.0,35.0,0.5,BROKEN_TOOTH
15.4,0.125,1.0852,0.0,35.0,0.5,BROKEN_TOOTH
15.5,0.0029,1.0668,0.0,35.0,0.5,BROKEN_TOOTH
15.6,-0.0984,0.7819,0.0,35.0,0.5,BROKEN_TOOTH
15.7,-0.3055,0.6034,0.0,35.0,0.5,BROKEN_TOOTH
15.8,-0.3302,0.5292,0.0,35.0,0.5,BROKEN_TOOTH
15.9,-0.3988,0.5685,0.0,35.0,0.5,BROKEN_TOOTH
16.0,-0.2875,0.5702,0.0,35.0,0.5,BROKEN_TOOTH
16.1,-0.1104,0.8419,0.0,35.0,0.5,BROKEN_TOOTH
16.2,-0.0075,1.0416,0.0,35.0,0.5,BROKEN_TOOTH
16.3,-0.0156,1.0872,0.0,35.0,0.5,BROKEN_TOOTH
16.4,-0.1651,0.8909,0.0,35.0,0.5,BROKEN_TOOTH
16.5,-0.0593,0.857,0.0,35.0,0.5,BROKEN_TOOTH
16.6,-0.2656,0.7072,0.0,35.0,0.5,BROKEN_TOOTH
16.7,-0.4087,0.5141,0.0,35.0,0.5,BROKEN_TOOTH
16.8,-0.4833,0.4704,0.0,35.0,0.5,BROKEN_TOOTH
16.9,-0.365,0.6404,0.0,35.0,0.5,BROKEN_TOOTH
17.0,-0.2585,0.9608,0.0,35.0,0.5,BROKEN_TOOTH
17.1,-0.0636,1.0886,0.0,35.0,0.5,BROKEN_TOOTH
17.2,-0.0866,1.1295,0.0,35.0,0.5,BROKEN_TOOTH
17.3,-0.2064,1.0277,0.0,35.0,0.5,BROKEN_TOOTH
17.4,-0.3248,0.7889,0.0,35.0,0.5,BROKEN_TOOTH
17.5,-0.3862,0.6132,0.0,35.0,0.5,BROKEN_TOOTH
17.6,-0.4473,0.5044,5.0,35.0,0.5,BROKEN_TOOTH
17.7,-0.4435,0.5592,5.0,35.0,0.5,BROKEN_TOOTH
17.8,-0.3895,0.758,5.0,35.0,0.5,BROKEN_TOOTH
17.9,-0.3101,0.945,5.0,35.0,0.5,BROKEN_TOOTH
18.0,-0.3577,0.9823,5.0,35.0,0.5,BROKEN_TOOTH
18.1,-0.159,1.1082,5.0,35.0,0.5,BROKEN_TOOTH
18.2,-0.2461,1.0363,0.0,35.0,0.5,BROKEN_TOOTH
18.3,-0.3742,0.8379,0.0,35.0,0.5,BROKEN_TOOTH
18.4,-0.516,0.5793,0.0,35.0,0.5,BROKEN_TOOTH
18.5,-0.6626,0.6497,0.0,35.0,0.5,BROKEN_TOOTH
18.6,-0.5525,0.4734,0.0,35.0,0.5,BROKEN_TOOTH
18.7,-0.45,0.6402,0.0,35.0,0.5,BROKEN_TOOTH
18.8,-0.3157,0.9123,0.0,35.0,0.5,BROKEN_TOOTH
18.9,-0.2033,1.1635,0.0,35.0,0.5,BROKEN_TOOTH
19.0,-0.2037,1.0488,0.0,35.0,0.5,BROKEN_TOOTH
19.1,-0.3308,0.9702,0.0,35.0,0.5,BROKEN_TOOTH
19.2,-0.4497,0.8408,0.0,35.0,0.5,BROKEN_TOOTH
19.3,-0.5749,0.5929,0.0,35.0,0.5,BROKEN_TOOTH
19.4,-0.6438,0.4788,0.0,35.0,0.5,BROKEN_TOOTH
19.5,-0.5747,0.5666,0.0,35.0,0.5,BROKEN_TOOTH
19.6,-0.4873,0.7151,0.0,35.0,0.5,BROKEN_TOOTH
19.7,-0.2822,0.9584,0.0,35.0,0.5,BROKEN_TOOTH
19.8,-0.1792,1.1211,0.0,35.0,0.5,BROKEN_TOOTH
19.9,-0.2737,1.094,0.0,35.0,0.5,BROKEN_TOOTH
20.0,-0.5498,0.9768,0.0,35.0,0.5,BROKEN_TOOTH
20.1,-0.432,0.7726,0.0,35.0,0.5,BROKEN_TOOTH
20.2,-0.6494,0.5967,0.0,35.0,0.5,BROKEN_TOOTH
20.3,-0.724,0.4855,0.0,35.0,0.5,BROKEN_TOOTH
20.4,-0.6705,0.5351,0.0,35.0,0.5,BROKEN_TOOTH
20.5,-0.5617,0.7637,5.0,35.0,0.5,BROKEN_TOOTH
20.6,-0.3737,0.9838,5.0,35.0,0.5,BROKEN_TOOTH
20.7,-0.3885,0.9743,5.0,35.0,0.5,BROKEN_TOOTH
20.8,-0.3574,1.0614,5.0,35.0,0.5,BROKEN_TOOTH
20.9,-0.3702,0.901,5.0,35.0,0.5,BROKEN_TOOTH
21.0,-0.4917,0.7165,5.0,35.0,0.5,BROKEN_TOOTH
21.1,-0.6141,0.5665,0.0,35.0,0.5,BROKEN_TOOTH
21.2,-0.7386,0.4993,0.0,35.0,0.5,BROKEN_TOOTH
21.3,-0.706,0.5221,0.0,35.0,0.5,BROKEN_TOOTH
21.4,-0.5653,0.6059,0.0,35.0,0.5,BROKEN_TOOTH
21.5,-0.3916,0.8556,0.0,35.0,0.5,BROKEN_TOOTH
21.6,-0.2385,1.0822,0.0,35.0,0.5,BROKEN_TOOTH
21.7,-0.4129,0.9006,0.0,35.0,0.5,BROKEN_TOOTH
21.8,-0.4086,0.9628,0.0,35.0,0.5,BROKEN_TOOTH
21.9,-0.599,0.7235,0.0,35.0,0.5,BROKEN_TOOTH
22.0,-0.7328,0.5821,0.0,35.0,0.5,BROKEN_TOOTH
22.1,-0.6462,0.435,0.0,35.0,0.5,BROKEN_TOOTH
22.2,-0.6164,0.413,0.0,35.0,0.5,BROKEN_TOOTH
22.3,-0.4984,0.7161,0.0,35.0,0.5,BROKEN_TOOTH
22.4,-0.3375,0.9583,0.0,35.0,0.5,BROKEN_TOOTH
22.5,-0.32,1.0658,0.0,35.0,0.5,BROKEN_TOOTH
22.6,-0.3201,0.9758,0.0,35.0,0.5,BROKEN_TOOTH
