timestamp_ms,input_voltage,output_voltage,tachometer,shaft_speed_hz,load_factor,fault_label
0.0,1.4587,1.7888,0.0,45.0,1.0,CHIPPED_TOOTH
0.1,1.0806,1.5241,0.0,45.0,1.0,CHIPPED_TOOTH
0.2,0.925,1.3455,0.0,45.0,1.0,CHIPPED_TOOTH
0.3,0.6382,0.8541,0.0,45.0,1.0,CHIPPED_TOOTH
0.4,0.3343,0.4968,5.0,45.0,1.0,CHIPPED_TOOTH
0.5,0.1474,0.0657,5.0,45.0,1.0,CHIPPED_TOOTH
0.6,0.1536,0.0673,5.0,45.0,1.0,CHIPPED_TOOTH
0.7,0.2424,0.1863,5.0,45.0,1.0,CHIPPED_TOOTH
0.8,0.3543,0.4018,0.0,45.0,1.0,CHIPPED_TOOTH
0.9,0.3669,0.5536,0.0,45.0,1.0,CHIPPED_TOOTH
1.0,0.2325,0.2388,0.0,45.0,1.0,CHIPPED_TOOTH
1.1,0.1275,0.0902,0.0,45.0,1.0,CHIPPED_TOOTH
1.2,-0.0384,-0.2181,0.0,45.0,1.0,CHIPPED_TOOTH
1.3,0.0963,-0.1279,0.0,45.0,1.0,CHIPPED_TOOTH
1.4,0.227,0.1561,0.0,45.0,1.0,CHIPPED_TOOTH
1.5,0.358,0.3973,0.0,45.0,1.0,CHIPPED_TOOTH
1.6,0.4448,0.4817,0.0,45.0,1.0,CHIPPED_TOOTH
1.7,0.2638,0.2779,0.0,45.0,1.0,CHIPPED_TOOTH
1.8,0.1697,-0.0185,0.0,45.0,1.0,CHIPPED_TOOTH
1.9,0.0698,-0.1317,0.0,45.0,1.0,CHIPPED_TOOTH
2.0,0.103,-0.0396,0.0,45.0,1.0,CHIPPED_TOOTH
2.1,0.3375,0.1892,0.0,45.0,1.0,CHIPPED_TOOTH
2.2,0.4936,0.4148,0.0,45.0,1.0,CHIPPED_TOOTH
2.3,0.5463,0.5355,0.0,45.0,1.0,CHIPPED_TOOTH
2.4,0.4172,0.2056,0.0,45.0,1.0,CHIPPED_TOOTH
2.5,0.2317,0.1277,0.0,45.0,1.0,CHIPPED_TOOTH
2.6,0.0791,-0.0851,5.0,45.0,1.0,CHIPPED_TOOTH
2.7,0.3387,0.0078,5.0,45.0,1.0,CHIPPED_TOOTH
2.8,0.3255,0.346,5.0,45.0,1.0,CHIPPED_TOOTH
2.9,0.5918,0.6001,5.0,45.0,1.0,CHIPPED_TOOTH
3.0,0.5776,0.5936,5.0,45.0,1.0,CHIPPED_TOOTH
3.1,0.3704,0.3671,0.0,45.0,1.0,CHIPPED_TOOTH
3.2,0.2614,0.1493,0.0,45.0,1.0,CHIPPED_TOOTH
3.3,0.1978,-0.0941,0.0,45.0,1.0,CHIPPED_TOOTH
3.4,0.3537,0.0916,0.0,45.0,1.0,CHIPPED_TOOTH
3.5,0.432,0.3375,0.0,45.0,1.0,CHIPPED_TOOTH
