timestamp_ms,input_voltage,output_voltage,tachometer,shaft_speed_hz,load_factor,fault_label
0.0,0.044,0.0161,0.0,50.0,1.0,SHAFT_IMBALANCE
0.1,0.2431,0.2934,0.0,50.0,1.0,SHAFT_IMBALANCE
0.2,0.2798,0.4643,0.0,50.0,1.0,SHAFT_IMBALANCE
0.3,0.2184,0.2453,5.0,50.0,1.0,SHAFT_IMBALANCE
0.4,0.1513,0.1223,5.0,50.0,1.0,SHAFT_IMBALANCE
0.5,0.2605,0.0954,5.0,50.0,1.0,SHAFT_IMBALANCE
0.6,0.357,0.3118,5.0,50.0,1.0,SHAFT_IMBALANCE
0.7,0.6789,0.7064,5.0,50.0,1.0,SHAFT_IMBALANCE
0.8,0.752,0.9006,0.0,50.0,1.0,SHAFT_IMBALANCE
0.9,0.7208,0.8829,0.0,50.0,1.0,SHAFT_IMBALANCE
1.0,0.669,0.6488,0.0,50.0,1.0,SHAFT_IMBALANCE
1.1,0.6177,0.6372,0.0,50.0,1.0,SHAFT_IMBALANCE
1.2,0.6883,0.8682,0.0,50.0,1.0,SHAFT_IMBALANCE
1.3,0.9812,1.1216,0.0,50.0,1.0,SHAFT_IMBALANCE
1.4,1.2417,1.3667,0.0,50.0,1.0,SHAFT_IMBALANCE
1.5,1.1688,1.3045,0.0,50.0,1.0,SHAFT_IMBALANCE
1.6,0.977,1.0756,0.0,50.0,1.0,SHAFT_IMBALANCE
1.7,0.9334,0.9027,0.0,50.0,1.0,SHAFT_IMBALANCE
1.8,1.1307,1.1521,0.0,50.0,1.0,SHAFT_IMBALANCE
1.9,1.3923,1.4361,0.0,50.0,1.0,SHAFT_IMBALANCE
2.0,1.543,1.7757,0.0,50.0,1.0,SHAFT_IMBALANCE
2.1,1.6876,1.894,0.0,50.0,1.0,SHAFT_IMBALANCE
2.2,1.4822,1.5576,0.0,50.0,1.0,SHAFT_IMBALANCE
2.3,1.3279,1.4212,5.0,50.0,1.0,SHAFT_IMBALANCE
2.4,1.3648,1.5357,5.0,50.0,1.0,SHAFT_IMBALANCE
2.5,1.5776,1.8169,5.0,50.0,1.0,SHAFT_IMBALANCE
2.6,1.8623,2.1284,5.0,50.0,1.0,SHAFT_IMBALANCE
2.7,1.8818,2.1698,5.0,50.0,1.0,SHAFT_IMBALANCE
2.8,1.8809,1.9968,0.0,50.0,1.0,SHAFT_IMBALANCE
2.9,1.7366,1.7443,0.0,50.0,1.0,SHAFT_IMBALANCE
3.0,1.7022,1.8313,0.0,50.0,1.0,SHAFT_IMBALANCE
3.1,1.7936,1.9617,0.0,50.0,1.0,SHAFT_IMBALANCE
3.2,2.0453,2.4245,0.0,50.0,1.0,SHAFT_IMBALANCE
3.3,2.2389,2.4405,0.0,50.0,1.0,SHAFT_IMBALANCE
3.4,2.061,2.4179,0.0,50.0,1.0,SHAFT_IMBALANCE
3.5,1.9879,2.1068,0.0,50.0,1.0,SHAFT_IMBALANCE
3.6,1.9052,1.9793,0.0,50.0,1.0,SHAFT_IMBALANCE
3.7,2.0171,2.2622,0.0,50.0,1.0,SHAFT_IMBALANCE
3.8,2.1997,2.6041,0.0,50.0,1.0,SHAFT_IMBALANCE
3.9,2.3589,2.724,0.0,50.0,1.0,SHAFT_IMBALANCE
4.0,2.3145,2.6901,0.0,50.0,1.0,SHAFT_IMBALANCE
4.1,2.1867,2.2821,0.0,50.0,1.0,SHAFT_IMBALANCE
4.2,1.987,2.1731,0.0,50.0,1.0,SHAFT_IMBALANCE
4.3,2.0946,2.4178,5.0,50.0,1.0,SHAFT_IMBALANCE
4.4,2.3112,2.6446,5.0,50.0,1.0,SHAFT_IMBALANCE
4.5,2.495,2.7938,5.0,50.0,1.0,SHAFT_IMBALANCE
4.6,2.3905,2.816,5.0,50.0,1.0,SHAFT_IMBALANCE
4.7,2.1989,2.552,5.0,50.0,1.0,SHAFT_IMBALANCE
4.8,2.1482,2.3697,0.0,50.0,1.0,SHAFT_IMBALANCE
4.9,2.0541,2.3891,0.0,50.0,1.0,SHAFT_IMBALANCE
5.0,2.3642,2.6792,0.0,50.0,1.0,SHAFT_IMBALANCE
5.1,2.4599,2.9271,0.0,50.0,1.0,SHAFT_IMBALANCE
5.2,2.3991,3.0214,0.0,50.0,1.0,SHAFT_IMBALANCE
5.3,2.2908,2.7434,0.0,50.0,1.0,SHAFT_IMBALANCE
5.4,2.1467,2.4765,0.0,50.0,1.0,SHAFT_IMBALANCE
5.5,2.0548,2.4558,0.0,50.0,1.0,SHAFT_IMBALANCE
5.6,2.2105,2.5846,0.0,50.0,1.0,SHAFT_IMBALANCE
5.7,2.4185,2.8146,0.0,50.0,1.0,SHAFT_IMBALANCE
5.8,2.4141,3.0187,0.0,50.0,1.0,SHAFT_IMBALANCE
5.9,2.2354,2.7701,0.0,50.0,1.0,SHAFT_IMBALANCE
6.0,2.0549,2.4706,0.0,50.0,1.0,SHAFT_IMBALANCE
6.1,2.0352,2.2938,0.0,50.0,1.0,SHAFT_IMBALANCE
6.2,2.1264,2.4323,0.0,50.0,1.0,SHAFT_IMBALANCE
6.3,2.1062,2.7752,5.0,50.0,1.0,SHAFT_IMBALANCE
6.4,2.3353,2.9155,5.0,50.0,1.0,SHAFT_IMBALANCE
6.5,2.1794,2.7589,5.0,50.0,1.0,SHAFT_IMBALANCE
6.6,1.9881,2.4471,5.0,50.0,1.0,SHAFT_IMBALANCE
6.7,1.7557,2.2242,5.0,50.0,1.0,SHAFT_IMBALANCE
6.8,1.7166,2.2621,0.0,50.0,1.0,SHAFT_IMBALANCE
6.9,1.9812,2.4954,0.0,50.0,1.0,SHAFT_IMBALANCE
7.0,2.0039,2.7421,0.0,50.0,1.0,SHAFT_IMBALANCE
