timestamp_ms,input_voltage,output_voltage,tachometer,shaft_speed_hz,load_factor,fault_label
0.0,0.0174,-0.0679,0.0,40.0,0.5,BEARING_DEFECT
0.1,0.1708,0.3822,0.0,40.0,0.5,BEARING_DEFECT
0.2,0.1782,0.7034,0.0,40.0,0.5,BEARING_DEFECT
0.3,0.1998,0.7205,0.0,40.0,0.5,BEARING_DEFECT
0.4,-0.0394,0.7075,5.0,40.0,0.5,BEARING_DEFECT
0.5,-0.1241,0.5799,5.0,40.0,0.5,BEARING_DEFECT
0.6,-0.2236,0.6479,5.0,40.0,0.5,BEARING_DEFECT
0.7,0.0439,0.9778,5.0,40.0,0.5,BEARING_DEFECT
0.8,0.1183,1.2954,5.0,40.0,0.5,BEARING_DEFECT
0.9,0.3837,1.5119,0.0,40.0,0.5,BEARING_DEFECT
1.0,0.3609,1.6535,0.0,40.0,0.5,BEARING_DEFECT
1.1,0.2682,1.6901,0.0,40.0,0.5,BEARING_DEFECT
1.2,0.0744,1.3587,0.0,40.0,0.5,BEARING_DEFECT
1.3,-0.0634,1.2603,0.0,40.0,0.5,BEARING_DEFECT
1.4,0.0054,1.1299,0.0,40.0,0.5,BEARING_DEFECT
1.5,0.0841,1.2455,0.0,40.0,0.5,BEARING_DEFECT
1.6,0.1881,1.4156,0.0,40.0,0.5,BEARING_DEFECT
1.7,0.3101,1.3724,0.0,40.0,0.5,BEARING_DEFECT
1.8,0.3592,1.2943,0.0,40.0,0.5,BEARING_DEFECT
1.9,0.4037,1.0681,0.0,40.0,0.5,BEARING_DEFECT
2.0,0.2779,0.6301,0.0,40.0,0.5,BEARING_DEFECT
2.1,0.077,0.3717,0.0,40.0,0.5,BEARING_DEFECT
2.2,0.087,0.0558,0.0,40.0,0.5,BEARING_DEFECT
2.3,0.1875,0.1389,0.0,40.0,0.5,BEARING_DEFECT
2.4,0.3243,0.0758,0.0,40.0,0.5,BEARING_DEFECT
2.5,0.5529,0.0805,0.0,40.0,0.5,BEARING_DEFECT
2.6,0.5741,-0.1724,0.0,40.0,0.5,BEARING_DEFECT
2.7,0.3238,-0.3957,0.0,40.0,0.5,BEARING_DEFECT
2.8,0.2187,-0.9677,0.0,40.0,0.5,BEARING_DEFECT
2.9,0.1162,-1.2086,5.0,40.0,0.5,BEARING_DEFECT
3.0,0.1524,-1.3931,5.0,40.0,0.5,BEARING_DEFECT
3.1,0.3707,-1.1537,5.0,40.0,0.5,BEARING_DEFECT
3.2,0.408,-1.0789,5.0,40.0,0.5,BEARING_DEFECT
3.3,0.5894,-1.0344,5.0,40.0,0.5,BEARING_DEFECT
3.4,0.5739,-1.0623,0.0,40.0,0.5,BEARING_DEFECT
3.5,0.4032,-1.3404,0.0,40.0,0.5,BEARING_DEFECT
3.6,0.3123,-1.5408,0.0,40.0,0.5,BEARING_DEFECT
3.7,0.2089,-1.6028,0.0,40.0,0.5,BEARING_DEFECT
3.8,0.3182,-1.4252,0.0,40.0,0.5,BEARING_DEFECT
3.9,0.3291,-1.1541,0.0,40.0,0.5,BEARING_DEFECT
4.0,0.5416,-0.7795,0.0,40.0,0.5,BEARING_DEFECT
4.1,0.6252,-0.468,0.0,40.0,0.5,BEARING_DEFECT
4.2,0.442,-0.3957,0.0,40.0,0.5,BEARING_DEFECT
4.3,0.3818,-0.4262,0.0,40.0,0.5,BEARING_DEFECT
4.4,0.2587,-0.4812,0.0,40.0,0.5,BEARING_DEFECT
4.5,0.3002,-0.1799,0.0,40.0,0.5,BEARING_DEFECT
4.6,0.2929,0.0594,0.0,40.0,0.5,BEARING_DEFECT
4.7,0.4417,0.6109,0.0,40.0,0.5,BEARING_DEFECT
4.8,0.6653,1.0194,0.0,40.0,0.5,BEARING_DEFECT
4.9,0.5887,1.2443,0.0,40.0,0.5,BEARING_DEFECT
5.0,0.4895,1.4774,0.0,40.0,0.5,BEARING_DEFECT
5.1,0.4262,1.4104,0.0,40.0,0.5,BEARING_DEFECT
5.2,0.2442,1.4608,0.0,40.0,0.5,BEARING_DEFECT
5.3,0.2199,1.5115,0.0,40.0,0.5,BEARING_DEFECT
5.4,0.4123,1.8365,5.0,40.0,0.5,BEARING_DEFECT
5.5,0.5847,2.0619,5.0,40.0,0.5,BEARING_DEFECT
5.6,0.7068,2.3976,5.0,40.0,0.5,BEARING_DEFECT
5.7,0.7424,2.4394,5.0,40.0,0.5,BEARING_DEFECT
5.8,0.6508,2.3555,5.0,40.0,0.5,BEARING_DEFECT
5.9,0.3274,2.1511,0.0,40.0,0.5,BEARING_DEFECT
6.0,0.3406,1.8763,0.0,40.0,0.5,BEARING_DEFECT
6.1,0.2863,1.863,0.0,40.0,0.5,BEARING_DEFECT
6.2,0.3843,1.8313,0.0,40.0,0.5,BEARING_DEFECT
6.3,0.6063,2.0163,0.0,40.0,0.5,BEARING_DEFECT
6.4,0.6,2.0377,0.0,40.0,0.5,BEARING_DEFECT
6.5,0.5924,1.8289,0.0,40.0,0.5,BEARING_DEFECT
6.6,0.5939,1.3819,0.0,40.0,0.5,BEARING_DEFECT
6.7,0.4293,0.8399,0.0,40.0,0.5,BEARING_DEFECT
6.8,0.3104,0.5963,0.0,40.0,0.5,BEARING_DEFECT
