time_sec,pressure_upstream,pressure_downstream,valve_command,system_state,leak_severity,stiction_factor
0.0,1496.74,97.77,0.0,NORMAL,0.0,0.0
0.001,1503.31,101.02,0.0,NORMAL,0.0,0.0
0.002,1501.48,100.2,0.0,NORMAL,0.0,0.0
0.003,1496.42,99.55,0.0,NORMAL,0.0,0.0
0.004,1499.52,99.09,0.0,NORMAL,0.0,0.0
0.005,1506.52,100.37,0.0,NORMAL,0.0,0.0
0.006,1494.59,99.53,0.0,NORMAL,0.0,0.0
0.007,1500.89,99.4,0.0,NORMAL,0.0,0.0
0.008,1506.28,99.69,0.0,NORMAL,0.0,0.0
0.009,1500.19,101.67,0.0,NORMAL,0.0,0.0
0.01,1501.05,100.32,0.0,NORMAL,0.0,0.0
0.011,1503.1,100.1,0.0,NORMAL,0.0,0.0
0.012,1508.16,102.07,0.0,NORMAL,0.0,0.0
0.013,1502.05,99.6,0.0,NORMAL,0.0,0.0
0.014,1502.93,102.15,0.0,NORMAL,0.0,0.0
0.015,1503.24,98.99,0.0,NORMAL,0.0,0.0
0.016,1511.44,100.8,0.0,NORMAL,0.0,0.0
0.017,1511.65,99.52,0.0,NORMAL,0.0,0.0
0.018,1508.37,99.9,0.0,NORMAL,0.0,0.0
0.019,1506.78,99.04,0.0,NORMAL,0.0,0.0
0.02,1508.09,99.56,0.0,NORMAL,0.0,0.0
0.021,1510.6,98.95,0.0,NORMAL,0.0,0.0
0.022,1503.57,100.6,0.0,NORMAL,0.0,0.0
0.023,1510.14,98.76,0.0,NORMAL,0.0,0.0
0.024,1503.08,100.8,0.0,NORMAL,0.0,0.0
0.025,1505.16,103.52,0.0,NORMAL,0.0,0.0
0.026,1510.01,97.67,0.0,NORMAL,0.0,0.0
0.027,1503.22,96.44,0.0,NORMAL,0.0,0.0
0.028,1507.28,98.52,0.0,NORMAL,0.0,0.0
0.029,1505.32,101.11,0.0,NORMAL,0.0,0.0
0.03,1507.32,98.93,0.0,NORMAL,0.0,0.0
0.031,1499.88,100.87,0.0,NORMAL,0.0,0.0
0.032,1503.13,101.42,0.0,NORMAL,0.0,0.0
0.033,1506.51,99.62,0.0,NORMAL,0.0,0.0
0.034,1511.55,101.33,0.0,NORMAL,0.0,0.0
0.035,1508.39,96.6,0.0,NORMAL,0.0,0.0
0.036,1509.06,101.25,0.0,NORMAL,0.0,0.0
0.037,1511.24,101.2,0.0,NORMAL,0.0,0.0
0.038,1506.66,99.85,0.0,NORMAL,0.0,0.0
0.039,1510.26,101.51,0.0,NORMAL,0.0,0.0
0.04,1507.09,102.16,0.0,NORMAL,0.0,0.0
0.041,1504.42,102.9,0.0,NORMAL,0.0,0.0
0.042,1508.51,102.91,0.0,NORMAL,0.0,0.0
