time_sec,pressure_upstream,pressure_downstream,valve_command,system_state,leak_severity,stiction_factor
0.0,1500.1,100.78,0.0,BUBBLE_ANOMALY,0.0,0.0
0.001,1501.91,101.1,0.0,BUBBLE_ANOMALY,0.0,0.0
0.002,1501.91,101.3,0.0,BUBBLE_ANOMALY,0.0,0.0
0.003,1501.58,100.28,0.0,BUBBLE_ANOMALY,0.0,0.0
0.004,1500.64,104.52,0.0,BUBBLE_ANOMALY,0.0,0.0
0.005,1498.84,100.25,0.0,BUBBLE_ANOMALY,0.0,0.0
0.006,1504.85,97.05,0.0,BUBBLE_ANOMALY,0.0,0.0
0.007,1503.33,100.0,0.0,BUBBLE_ANOMALY,0.0,0.0
0.008,1504.62,100.31,0.0,BUBBLE_ANOMALY,0.0,0.0
0.009,1502.13,98.81,0.0,BUBBLE_ANOMALY,0.0,0.0
0.01,1505.27,102.44,0.0,BUBBLE_ANOMALY,0.0,0.0
0.011,1496.06,99.59,0.0,BUBBLE_ANOMALY,0.0,0.0
0.012,1506.92,98.45,0.0,BUBBLE_ANOMALY,0.0,0.0
0.013,1503.37,100.26,0.0,BUBBLE_ANOMALY,0.0,0.0
0.014,1502.89,100.24,0.0,BUBBLE_ANOMALY,0.0,0.0
0.015,1502.94,100.73,0.0,BUBBLE_ANOMALY,0.0,0.0
0.016,1502.9,96.04,0.0,BUBBLE_ANOMALY,0.0,0.0
0.017,1505.14,98.77,0.0,BUBBLE_ANOMALY,0.0,0.0
0.018,1506.02,100.58,0.0,BUBBLE_ANOMALY,0.0,0.0
0.019,1510.44,101.74,0.0,BUBBLE_ANOMALY,0.0,0.0
0.02,1505.98,100.45,0.0,BUBBLE_ANOMALY,0.0,0.0
0.021,1502.64,98.8,0.0,BUBBLE_ANOMALY,0.0,0.0
0.022,1513.16,99.78,0.0,BUBBLE_ANOMALY,0.0,0.0
0.023,1506.49,101.44,0.0,BUBBLE_ANOMALY,0.0,0.0
0.024,1506.37,101.15,0.0,BUBBLE_ANOMALY,0.0,0.0
0.025,1505.46,101.1,0.0,BUBBLE_ANOMALY,0.0,0.0
0.026,1503.09,101.99,0.0,BUBBLE_ANOMALY,0.0,0.0
0.027,1511.17,102.31,0.0,BUBBLE_ANOMALY,0.0,0.0
0.028,1504.13,98.3,0.0,BUBBLE_ANOMALY,0.0,0.0
0.029,1510.93,99.0,0.0,BUBBLE_ANOMALY,0.0,0.0
0.03,1507.23,101.92,0.0,BUBBLE_ANOMALY,0.0,0.0
0.031,1510.01,97.68,0.0,BUBBLE_ANOMALY,0.0,0.0
0.032,1507.53,101.48,0.0,BUBBLE_ANOMALY,0.0,0.0
0.033,1509.58,97.76,0.0,BUBBLE_ANOMALY,0.0,0.0
0.034,1508.73,101.7,0.0,BUBBLE_ANOMALY,0.0,0.0
0.035,1509.01,100.18,0.0,BUBBLE_ANOMALY,0.0,0.0
0.036,1512.81,100.25,0.0,BUBBLE_ANOMALY,0.0,0.0
0.037,1509.22,100.57,0.0,BUBBLE_ANOMALY,0.0,0.0
0.038,1506.02,98.61,0.0,BUBBLE_ANOMALY,0.0,0.0
0.039,1504.62,102.0,0.0,BUBBLE_ANOMALY,0.0,0.0
0.04,1507.8,101.79,0.0,BUBBLE_ANOMALY,0.0,0.0
0.041,1511.54,97.03,0.0,BUBBLE_ANOMALY,0.0,0.0
0.042,1511.5,102.84,0.0,BUBBLE_ANOMALY,0.0,0.0
0.043,1512.15,98.61,0.0,BUBBLE_ANOMALY,0.0,0.0
0.044,1511.06,97.94,0.0,BUBBLE_ANOMALY,0.0,0.0
0.045,1511.04,98.14,0.0,BUBBLE_ANOMALY,0.0,0.0
0.046,1507.67,101.06,0.0,BUBBLE_ANOMALY,0.0,0.0
0.047,1511.67,95.03,0.0,BUBBLE_ANOMALY,0.0,0.0
0.048,1514.48,99.21,0.0,BUBBLE_ANOMALY,0.0,0.0
0.049,1509.62,99.11,0.0,BUBBLE_ANOMALY,0.0,0.0
0.05,1511.98,99.35,0.0,BUBBLE_ANOMALY,0.0,0.0
0.051,1508.27,97.82,0.0,BUBBLE_ANOMALY,0.0,0.0
0.052,1513.13,99.94,0.0,BUBBLE_ANOMALY,0.0,0.0
0.053,1511.96,100.1,0.0,BUBBLE_ANOMALY,0.0,0.0
0.054,1510.31,99.27,0.0,BUBBLE_ANOMALY,0.0,0.0
0.055,1507.05,101.65,0.0,BUBBLE_ANOMALY,0.0,0.0
0.056,1510.88,98.51,0.0,BUBBLE_ANOMALY,0.0,0.0
0.057,1514.73,99.65,0.0,BUBBLE_ANOMALY,0.0,0.0
0.058,1510.07,100.58,0.0,BUBBLE_ANOMALY,0.0,0.0
0.059,1516.48,97.59,0.0,BUBBLE_ANOMALY,0.0,0.0
0.06,1505.69,96.78,0.0,BUBBLE_ANOMALY,0.0,0.0
0.061,1507.18,100.31,0.0,BUBBLE_ANOMALY,0.0,0.0
0.062,1507.22,101.31,0.0,BUBBLE_ANOMALY,0.0,0.0
0.063,1509.23,102.67,0.0,BUBBLE_ANOMALY,0.0,0.0
0.064,1511.85,99.88,0.0,BUBBLE_ANOMALY,0.0,0.0
0.065,1507.33,100.05,0.0,BUBBLE_ANOMALY,0.0,0.0
0.066,1508.83,98.92,0.0,BUBBLE_ANOMALY,0.0,0.0
0.067,1510.34,100.52,0.0,BUBBLE_ANOMALY,0.0,0.0
0.068,1508.87,98.1,0.0,BUBBLE_ANOMALY,0.0,0.0
0.069,1508.5,100.86,0.0,BUBBLE_ANOMALY,0.0,0.0
0.07,1507.9,99.83,0.0,BUBBLE_ANOMALY,0.0,0.0
0.071,1512.21,98.76,0.0,BUBBLE_ANOMALY,0.0,0.0
0.072,1505.35,100.7,0.0,BUBBLE_ANOMALY,0.0,0.0
0.073,1512.16,101.03,0.0,BUBBLE_ANOMALY,0.0,0.0
0.074,1505.54,103.39,0.0,BUBBLE_ANOMALY,0.0,0.0
0.075,1509.09,100.25,0.0,BUBBLE_ANOMALY,0.0,0.0
0.076,1508.56,99.61,0.0,BUBBLE_ANOMALY,0.0,0.0
0.077,1506.62,100.46,0.0,BUBBLE_ANOMALY,0.0,0.0
