time_sec,pressure_upstream,pressure_downstream,valve_command,system_state,leak_severity,stiction_factor
0.0,1495.51,99.62,0.0,VALVE_FAULT,0.3,0.5
0.001,1500.05,100.17,0.0,VALVE_FAULT,0.3,0.5
0.002,1497.68,102.01,0.0,VALVE_FAULT,0.3,0.5
0.003,1498.48,101.38,0.0,VALVE_FAULT,0.3,0.5
0.004,1499.88,101.32,0.0,VALVE_FAULT,0.3,0.5
0.005,1506.11,101.07,0.0,VALVE_FAULT,0.3,0.5
0.006,1508.39,100.69,0.0,VALVE_FAULT,0.3,0.5
0.007,1504.87,97.34,0.0,VALVE_FAULT,0.3,0.5
0.008,1504.32,100.86,0.0,VALVE_FAULT,0.3,0.5
0.009,1504.58,101.51,0.0,VALVE_FAULT,0.3,0.5
0.01,1505.54,100.87,0.0,VALVE_FAULT,0.3,0.5
0.011,1503.46,99.24,0.0,VALVE_FAULT,0.3,0.5
0.012,1506.47,101.48,0.0,VALVE_FAULT,0.3,0.5
0.013,1508.24,98.13,0.0,VALVE_FAULT,0.3,0.5
0.014,1503.85,100.57,0.0,VALVE_FAULT,0.3,0.5
0.015,1507.51,101.58,0.0,VALVE_FAULT,0.3,0.5
0.016,1508.35,100.35,0.0,VALVE_FAULT,0.3,0.5
0.017,1509.53,99.87,0.0,VALVE_FAULT,0.3,0.5
0.018,1510.21,98.88,0.0,VALVE_FAULT,0.3,0.5
0.019,1508.12,100.61,0.0,VALVE_FAULT,0.3,0.5
0.02,1503.51,102.5,0.0,VALVE_FAULT,0.3,0.5
0.021,1505.49,98.89,0.0,VALVE_FAULT,0.3,0.5
0.022,1510.96,101.58,0.0,VALVE_FAULT,0.3,0.5
0.023,1501.63,97.98,0.0,VALVE_FAULT,0.3,0.5
0.024,1506.76,102.8,0.0,VALVE_FAULT,0.3,0.5
0.025,1509.77,101.83,0.0,VALVE_FAULT,0.3,0.5
0.026,1507.78,100.05,0.0,VALVE_FAULT,0.3,0.5
0.027,1503.68,99.18,0.0,VALVE_FAULT,0.3,0.5
0.028,1506.03,101.09,0.0,VALVE_FAULT,0.3,0.5
0.029,1511.75,99.08,0.0,VALVE_FAULT,0.3,0.5
0.03,1512.39,96.86,0.0,VALVE_FAULT,0.3,0.5
0.031,1503.25,99.69,0.0,VALVE_FAULT,0.3,0.5
0.032,1507.71,98.09,0.0,VALVE_FAULT,0.3,0.5
0.033,1504.18,97.48,0.0,VALVE_FAULT,0.3,0.5
0.034,1509.15,97.85,0.0,VALVE_FAULT,0.3,0.5
0.035,1505.91,100.39,0.0,VALVE_FAULT,0.3,0.5
0.036,1509.36,100.85,0.0,VALVE_FAULT,0.3,0.5
0.037,1506.38,97.96,0.0,VALVE_FAULT,0.3,0.5
0.038,1511.88,99.46,0.0,VALVE_FAULT,0.3,0.5
0.039,1507.58,101.55,0.0,VALVE_FAULT,0.3,0.5
0.04,1507.2,101.03,0.0,VALVE_FAULT,0.3,0.5
0.041,1506.65,99.28,0.0,VALVE_FAULT,0.3,0.5
0.042,1505.55,97.36,0.0,VALVE_FAULT,0.3,0.5
0.043,1505.59,101.99,0.0,VALVE_FAULT,0.3,0.5
0.044,1506.62,97.99,0.0,VALVE_FAULT,0.3,0.5
0.045,1509.16,99.45,0.0,VALVE_FAULT,0.3,0.5
0.046,1506.08,96.77,0.0,VALVE_FAULT,0.3,0.5
0.047,1507.56,98.29,0.0,VALVE_FAULT,0.3,0.5
0.048,1513.1,99.72,0.0,VALVE_FAULT,0.3,0.5
0.049,1513.64,100.43,0.0,VALVE_FAULT,0.3,0.5
0.05,1505.42,103.05,0.0,VALVE_FAULT,0.3,0.5
0.051,1514.12,101.62,0.0,VALVE_FAULT,0.3,0.5
0.052,1510.51,100.64,0.0,VALVE_FAULT,0.3,0.5
0.053,1511.78,98.16,0.0,VALVE_FAULT,0.3,0.5
0.054,1515.74,97.27,0.0,VALVE_FAULT,0.3,0.5
0.055,1511.13,102.07,0.0,VALVE_FAULT,0.3,0.5
0.056,1502.38,103.9,0.0,VALVE_FAULT,0.3,0.5
0.057,1509.16,97.26,0.0,VALVE_FAULT,0.3,0.5
0.058,1511.16,101.46,0.0,VALVE_FAULT,0.3,0.5
0.059,1510.11,98.96,0.0,VALVE_FAULT,0.3,0.5
0.06,1509.22,101.36,0.0,VALVE_FAULT,0.3,0.5
0.061,1504.54,102.53,0.0,VALVE_FAULT,0.3,0.5
0.062,1513.77,98.33,0.0,VALVE_FAULT,0.3,0.5
0.063,1506.39,100.23,0.0,VALVE_FAULT,0.3,0.5
0.064,1507.17,100.08,0.0,VALVE_FAULT,0.3,0.5
0.065,1508.46,99.24,0.0,VALVE_FAULT,0.3,0.5
0.066,1508.22,99.39,0.0,VALVE_FAULT,0.3,0.5
0.067,1508.64,99.9,0.0,VALVE_FAULT,0.3,0.5
0.068,1504.27,101.22,0.0,VALVE_FAULT,0.3,0.5
0.069,1506.58,100.11,0.0,VALVE_FAULT,0.3,0.5
0.07,1506.69,100.0,0.0,VALVE_FAULT,0.3,0.5
0.071,1506.41,101.64,0.0,VALVE_FAULT,0.3,0.5
0.072,1508.73,103.88,0.0,VALVE_FAULT,0.3,0.5
0.073,1507.44,98.5,0.0,VALVE_FAULT,0.3,0.5
0.074,1509.61,99.73,0.0,VALVE_FAULT,0.3,0.5
0.075,1509.47,99.24,0.0,VALVE_FAULT,0.3,0.5
0.076,1504.98,99.34,0.0,VALVE_FAULT,0.3,0.5
0.077,1506.3,101.13,0.0,VALVE_FAULT,0.3,0.5
0.078,1502.85,95.86,0.0,VALVE_FAULT,0.3,0.5
0.079,1506.81,99.98,0.0,VALVE_FAULT,0.3,0.5
0.08,1503.59,99.59,0.0,VALVE_FAULT,0.3,0.5
0.081,1507.43,98.68,0.0,VALVE_FAULT,0.3,0.5
0.082,1500.17,100.83,0.0,VALVE_FAULT,0.3,0.5
0.083,1500.32,98.26,0.0,VALVE_FAULT,0.3,0.5
0.084,1504.55,99.19,0.0,VALVE_FAULT,0.3,0.5
0.085,1506.42,98.27,0.0,VALVE_FAULT,0.3,0.5
0.086,1508.21,98.66,0.0,VALVE_FAULT,0.3,0.5
0.087,1502.84,100.76,0.0,VALVE_FAULT,0.3,0.5
0.088,1501.13,101.02,0.0,VALVE_FAULT,0.3,0.5
0.089,1502.91,102.8,0.0,VALVE_FAULT,0.3,0.5
0.09,1501.87,100.66,0.0,VALVE_FAULT,0.3,0.5
0.091,1499.83,96.88,0.0,VALVE_FAULT,0.3,0.5
0.092,1501.59,97.15,0.0,VALVE_FAULT,0.3,0.5
0.093,1502.24,98.33,0.0,VALVE_FAULT,0.3,0.5
0.094,1496.71,100.37,0.0,VALVE_FAULT,0.3,0.5
0.095,1506.1,101.84,0.0,VALVE_FAULT,0.3,0.5
0.096,1500.86,102.02,0.0,VALVE_FAULT,0.3,0.5
0.097,1500.8,99.84,0.0,VALVE_FAULT,0.3,0.5
0.098,1498.82,99.96,0.0,VALVE_FAULT,0.3,0.5
0.099,1499.63,102.38,0.0,VALVE_FAULT,0.3,0.5
0.1,1496.34,99.24,0.0,VALVE_FAULT,0.3,0.5
0.101,1499.31,101.45,0.0,VALVE_FAULT,0.3,0.5
0.102,1500.91,101.57,0.0,VALVE_FAULT,0.3,0.5
0.103,1497.31,99.33,0.0,VALVE_FAULT,0.3,0.5
0.104,1498.75,99.37,0.0,VALVE_FAULT,0.3,0.5
0.105,1496.97,102.1,0.0,VALVE_FAULT,0.3,0.5
0.106,1494.23,99.53,0.0,VALVE_FAULT,0.3,0.5
0.107,1498.59,99.45,0.0,VALVE_FAULT,0.3,0.5
0.108,1502.32,99.23,0.0,VALVE_FAULT,0.3,0.5
0.109,1496.11,99.99,0.0,VALVE_FAULT,0.3,0.5
0.11,1498.58,99.27,0.0,VALVE_FAULT,0.3,0.5
0.111,1495.78,102.35,0.0,VALVE_FAULT,0.3,0.5
0.112,1498.82,100.36,0.0,VALVE_FAULT,0.3,0.5
0.113,1494.2,100.77,0.0,VALVE_FAULT,0.3,0.5
0.114,1496.4,97.44,0.0,VALVE_FAULT,0.3,0.5
0.115,1499.94,100.46,0.0,VALVE_FAULT,0.3,0.5
0.116,1496.28,97.37,0.0,VALVE_FAULT,0.3,0.5
0.117,1491.59,101.26,0.0,VALVE_FAULT,0.3,0.5
0.118,1495.34,99.72,0.0,VALVE_FAULT,0.3,0.5
0.119,1493.43,98.46,0.0,VALVE_FAULT,0.3,0.5
0.12,1494.28,101.83,0.0,VALVE_FAULT,0.3,0.5
0.121,1495.71,100.32,0.0,VALVE_FAULT,0.3,0.5
0.122,1494.69,99.59,0.0,VALVE_FAULT,0.3,0.5
0.123,1493.64,100.84,0.0,VALVE_FAULT,0.3,0.5
0.124,1491.56,99.01,0.0,VALVE_FAULT,0.3,0.5
0.125,1495.35,97.37,0.0,VALVE_FAULT,0.3,0.5
0.126,1492.71,98.35,0.0,VALVE_FAULT,0.3,0.5
0.127,1492.94,99.89,0.0,VALVE_FAULT,0.3,0.5
0.128,1491.81,100.43,0.0,VALVE_FAULT,0.3,0.5
0.129,1492.2,98.31,0.0,VALVE_FAULT,0.3,0.5
0.13,1490.45,99.26,0.0,VALVE_FAULT,0.3,0.5
0.131,1485.06,99.39,0.0,VALVE_FAULT,0.3,0.5
0.132,1493.06,99.24,0.0,VALVE_FAULT,0.3,0.5
0.133,1495.39,98.48,0.0,VALVE_FAULT,0.3,0.5
0.134,1493.84,99.68,0.0,VALVE_FAULT,0.3,0.5
0.135,1491.54,102.94,0.0,VALVE_FAULT,0.3,0.5
0.136,1492.27,99.81,0.0,VALVE_FAULT,0.3,0.5
0.137,1492.12,100.09,0.0,VALVE_FAULT,0.3,0.5
0.138,1494.53,99.0,0.0,VALVE_FAULT,0.3,0.5
0.139,1487.71,98.7,0.0,VALVE_FAULT,0.3,0.5
0.14,1493.3,99.65,0.0,VALVE_FAULT,0.3,0.5
0.141,1493.04,100.63,0.0,VALVE_FAULT,0.3,0.5
0.142,1488.21,101.6,0.0,VALVE_FAULT,0.3,0.5
0.143,1489.44,99.96,0.0,VALVE_FAULT,0.3,0.5
0.144,1482.0,101.82,0.0,VALVE_FAULT,0.3,0.5
0.145,1485.59,98.88,0.0,VALVE_FAULT,0.3,0.5
0.146,1488.27,101.2,0.0,VALVE_FAULT,0.3,0.5
0.147,1488.43,98.86,0.0,VALVE_FAULT,0.3,0.5
0.148,1488.96,100.47,0.0,VALVE_FAULT,0.3,0.5
0.149,1492.11,99.8,0.0,VALVE_FAULT,0.3,0.5
0.15,1491.32,100.73,0.0,VALVE_FAULT,0.3,0.5
0.151,1485.66,100.18,0.0,VALVE_FAULT,0.3,0.5
