time_sec,pressure_upstream,pressure_downstream,valve_command,system_state,leak_severity,stiction_factor
0.0,1499.28,350.62,0.0,LEAK,0.8,0.0
0.001,1507.34,353.9,0.0,LEAK,0.8,0.0
0.002,1507.71,346.84,0.0,LEAK,0.8,0.0
0.003,1503.32,352.07,0.0,LEAK,0.8,0.0
0.004,1498.59,350.58,0.0,LEAK,0.8,0.0
0.005,1504.87,347.92,0.0,LEAK,0.8,0.0
0.006,1505.9,350.27,0.0,LEAK,0.8,0.0
0.007,1502.32,350.54,0.0,LEAK,0.8,0.0
0.008,1505.69,351.19,0.0,LEAK,0.8,0.0
0.009,1503.31,351.59,0.0,LEAK,0.8,0.0
0.01,1500.45,349.73,0.0,LEAK,0.8,0.0
0.011,1495.61,348.95,0.0,LEAK,0.8,0.0
0.012,1502.27,346.79,0.0,LEAK,0.8,0.0
0.013,1502.37,348.51,0.0,LEAK,0.8,0.0
0.014,1507.28,350.03,0.0,LEAK,0.8,0.0
0.015,1504.14,349.23,0.0,LEAK,0.8,0.0
0.016,1509.88,349.08,0.0,LEAK,0.8,0.0
0.017,1505.36,351.1,0.0,LEAK,0.8,0.0
0.018,1504.2,351.08,0.0,LEAK,0.8,0.0
0.019,1510.57,348.54,0.0,LEAK,0.8,0.0
0.02,1505.48,350.48,0.0,LEAK,0.8,0.0
0.021,1504.39,350.05,0.0,LEAK,0.8,0.0
0.022,1504.47,348.9,0.0,LEAK,0.8,0.0
0.023,1504.1,351.2,0.0,LEAK,0.8,0.0
0.024,1506.51,351.97,0.0,LEAK,0.8,0.0
0.025,1505.51,350.84,0.0,LEAK,0.8,0.0
0.026,1503.5,349.82,0.0,LEAK,0.8,0.0
0.027,1504.11,348.69,0.0,LEAK,0.8,0.0
0.028,1509.45,350.76,0.0,LEAK,0.8,0.0
0.029,1508.1,349.51,0.0,LEAK,0.8,0.0
0.03,1506.15,351.25,0.0,LEAK,0.8,0.0
0.031,1505.89,349.96,0.0,LEAK,0.8,0.0
0.032,1512.41,351.79,0.0,LEAK,0.8,0.0
0.033,1506.24,352.11,0.0,LEAK,0.8,0.0
0.034,1507.51,349.47,0.0,LEAK,0.8,0.0
0.035,1509.35,347.65,0.0,LEAK,0.8,0.0
0.036,1506.68,349.62,0.0,LEAK,0.8,0.0
0.037,1506.34,348.52,0.0,LEAK,0.8,0.0
0.038,1509.36,350.05,0.0,LEAK,0.8,0.0
0.039,1514.08,349.08,0.0,LEAK,0.8,0.0
0.04,1506.03,347.6,0.0,LEAK,0.8,0.0
0.041,1509.46,347.94,0.0,LEAK,0.8,0.0
0.042,1509.73,350.71,0.0,LEAK,0.8,0.0
0.043,1512.85,347.66,0.0,LEAK,0.8,0.0
0.044,1514.68,349.85,0.0,LEAK,0.8,0.0
0.045,1509.17,351.7,0.0,LEAK,0.8,0.0
0.046,1508.88,351.94,0.0,LEAK,0.8,0.0
0.047,1506.88,352.52,0.0,LEAK,0.8,0.0
0.048,1510.47,349.44,0.0,LEAK,0.8,0.0
0.049,1510.84,347.74,0.0,LEAK,0.8,0.0
0.05,1505.61,350.36,0.0,LEAK,0.8,0.0
0.051,1513.57,350.41,0.0,LEAK,0.8,0.0
