time_sec,pressure_upstream,pressure_downstream,valve_command,system_state,leak_severity,stiction_factor
0.0,1497.07,98.46,0.0,PRESSURE_SURGE,0.0,0.2
0.001,1504.05,101.79,0.0,PRESSURE_SURGE,0.0,0.2
0.002,1505.5,98.12,0.0,PRESSURE_SURGE,0.0,0.2
0.003,1502.68,99.8,0.0,PRESSURE_SURGE,0.0,0.2
0.004,1504.52,99.52,0.0,PRESSURE_SURGE,0.0,0.2
0.005,1502.36,100.96,0.0,PRESSURE_SURGE,0.0,0.2
0.006,1502.2,98.47,0.0,PRESSURE_SURGE,0.0,0.2
0.007,1502.06,102.63,0.0,PRESSURE_SURGE,0.0,0.2
0.008,1505.89,101.06,0.0,PRESSURE_SURGE,0.0,0.2
0.009,1505.91,100.2,0.0,PRESSURE_SURGE,0.0,0.2
0.01,1501.45,102.22,0.0,PRESSURE_SURGE,0.0,0.2
0.011,1504.83,100.54,0.0,PRESSURE_SURGE,0.0,0.2
0.012,1506.9,101.12,0.0,PRESSURE_SURGE,0.0,0.2
0.013,1505.05,100.67,0.0,PRESSURE_SURGE,0.0,0.2
0.014,1503.61,98.89,0.0,PRESSURE_SURGE,0.0,0.2
0.015,1506.07,101.97,0.0,PRESSURE_SURGE,0.0,0.2
0.016,1501.05,103.2,0.0,PRESSURE_SURGE,0.0,0.2
0.017,1509.53,99.01,0.0,PRESSURE_SURGE,0.0,0.2
0.018,1504.03,99.49,0.0,PRESSURE_SURGE,0.0,0.2
0.019,1502.82,97.31,0.0,PRESSURE_SURGE,0.0,0.2
0.02,1502.54,99.73,0.0,PRESSURE_SURGE,0.0,0.2
0.021,1510.99,100.21,0.0,PRESSURE_SURGE,0.0,0.2
0.022,1503.45,97.73,0.0,PRESSURE_SURGE,0.0,0.2
0.023,1503.04,99.81,0.0,PRESSURE_SURGE,0.0,0.2
0.024,1507.4,99.52,0.0,PRESSURE_SURGE,0.0,0.2
0.025,1505.15,100.9,0.0,PRESSURE_SURGE,0.0,0.2
0.026,1513.23,98.0,0.0,PRESSURE_SURGE,0.0,0.2
0.027,1503.53,98.86,0.0,PRESSURE_SURGE,0.0,0.2
0.028,1508.51,99.76,0.0,PRESSURE_SURGE,0.0,0.2
0.029,1503.13,98.91,0.0,PRESSURE_SURGE,0.0,0.2
0.03,1503.82,103.22,0.0,PRESSURE_SURGE,0.0,0.2
0.031,1506.55,98.3,0.0,PRESSURE_SURGE,0.0,0.2
0.032,1508.5,100.15,0.0,PRESSURE_SURGE,0.0,0.2
0.033,1517.9,102.36,0.0,PRESSURE_SURGE,0.0,0.2
0.034,1508.28,102.9,0.0,PRESSURE_SURGE,0.0,0.2
0.035,1506.22,98.16,0.0,PRESSURE_SURGE,0.0,0.2
0.036,1508.28,101.65,0.0,PRESSURE_SURGE,0.0,0.2
0.037,1505.63,98.99,0.0,PRESSURE_SURGE,0.0,0.2
0.038,1507.03,97.4,0.0,PRESSURE_SURGE,0.0,0.2
0.039,1509.07,94.99,0.0,PRESSURE_SURGE,0.0,0.2
0.04,1507.98,101.43,0.0,PRESSURE_SURGE,0.0,0.2
0.041,1513.39,100.67,0.0,PRESSURE_SURGE,0.0,0.2
0.042,1507.74,98.33,0.0,PRESSURE_SURGE,0.0,0.2
0.043,1510.3,99.72,0.0,PRESSURE_SURGE,0.0,0.2
0.044,1505.29,100.32,0.0,PRESSURE_SURGE,0.0,0.2
0.045,1502.18,97.73,0.0,PRESSURE_SURGE,0.0,0.2
0.046,1505.67,99.91,0.0,PRESSURE_SURGE,0.0,0.2
0.047,1507.09,101.87,0.0,PRESSURE_SURGE,0.0,0.2
0.048,1513.37,99.8,0.0,PRESSURE_SURGE,0.0,0.2
0.049,1506.3,101.17,0.0,PRESSURE_SURGE,0.0,0.2
0.05,1511.43,97.53,0.0,PRESSURE_SURGE,0.0,0.2
0.051,1510.79,100.86,0.0,PRESSURE_SURGE,0.0,0.2
0.052,1512.59,98.61,0.0,PRESSURE_SURGE,0.0,0.2
0.053,1506.83,100.43,0.0,PRESSURE_SURGE,0.0,0.2
0.054,1507.06,100.92,0.0,PRESSURE_SURGE,0.0,0.2
0.055,1513.56,99.28,0.0,PRESSURE_SURGE,0.0,0.2
0.056,1507.99,101.55,0.0,PRESSURE_SURGE,0.0,0.2
0.057,1513.63,98.83,0.0,PRESSURE_SURGE,0.0,0.2
0.058,1506.53,97.72,0.0,PRESSURE_SURGE,0.0,0.2
0.059,1511.54,99.45,0.0,PRESSURE_SURGE,0.0,0.2
